album_id,title,main_producer
1,Starlight Serenade,Giff Devita
2,Rhythm of the Night,Christiana Greystoke
3,Electric Dreams,Merrili Rau
4,Midnight City,Rebekah Kermitt
5,Golden Hour,Heriberto Marland
6,Dancing in the Moonlight,Cozmo Standring
7,Dancing in the Moonlight,Wallie Mosconi
8,Rhythm of the Night,Kiele Batten
9,Starlight Serenade,Dorian Fearey
10,Absolution,Dru McGowran
11,Sunset Boulevard,Carolina Logsdail
12,Starlight Serenade,Albertine Grigoryov
13,Sunset Boulevard,Sharona Nayshe
14,Neon Lights,Lenore Aglione
15,Rhythm of the Night,Kari Da Costa
16,Starlight Serenade,Correy Dack
17,Dreamland Daze,Menard Swan
18,Dancing in the Moonlight,Delano Filippazzo
19,Rhythm of the Night,Ellerey McLelland
20,Rhythm of the Night,Garret Osgardby
21,Dancing in the Moonlight,Tomaso Droogan
22,Starlight Serenade,Adriane Fearby
23,Midnight City,Herold Croy
24,Golden Hour,Lani Stollman
25,Golden Hour,Arin Saill
26,Dreamland Daze,Griffie Woodyer
27,Summer Breeze,Cahra Druhan
28,Rhythm of the Night,Abel Maggi
29,Rhythm of the Night,Josh Milam
30,Neon Lights,Chuck Ducker
31,Dancing in the Moonlight,Danice Guppie
32,Summer Breeze,Isa Duffie
33,Neon Lights,Aldwin Hanselmann
34,Midnight City,Stacee Thom
35,Sunset Boulevard,Sigfried Cozins
36,Dancing in the Moonlight,Rhonda Brithman
37,Dreamland Daze,Anastassia Keesman
38,Dancing in the Moonlight,Annabella Franschini
39,Electric Dreams,Bethina Blant
40,Dreamland Daze,Lissie Laborda
41,Dreamland Daze,Ina Larose
42,Electric Dreams,Kristina Rousell
43,Starlight Serenade,Holly Bycraft
44,Electric Dreams,Becki Cambling
45,Midnight City,Way Rillatt
46,Sunset Boulevard,Celinda Livings
47,Starlight Serenade,Neall Savile
48,Neon Lights,Domenic Hardson
49,Dreamland Daze,Jennee Wenman
50,Golden Hour,Reggie Barehead
51,Electric Dreams,Tracy Noton
52,Midnight City,Cindelyn Tabert
53,Midnight City,Orbadiah Sennett
54,Neon Lights,Cart Strutt
55,Summer Breeze,Gustavo Beevis
56,Golden Hour,Marys Castagneri
57,Rhythm of the Night,Lauretta Camacke
58,Rhythm of the Night,Ronni Cawker
59,Rhythm of the Night,Mikel Antonat
60,Electric Dreams,Patsy Gayden
61,Midnight City,Salomo Austin
62,Starlight Serenade,Thorpe Gini
63,Midnight City,Marleah Cominello
64,Dreamland Daze,Cacilia Woffinden
65,Midnight City,Con Vizard
66,Summer Breeze,Carleton Wellfare
67,Dancing in the Moonlight,Geoffrey Steggles
68,Midnight City,Jemie Tees
69,Midnight City,Ivie Brill
70,Golden Hour,Carmelle Enrigo
71,Starlight Serenade,Horton Endle
72,Golden Hour,Krystal Stirgess
73,Electric Dreams,Haroun Crone
74,Electric Dreams,Sergio Arrundale
75,Summer Breeze,Krystyna Rounsivall
76,Electric Dreams,Josi Benning
77,Starlight Serenade,Tootsie Grishagin
78,Starlight Serenade,Stacie Cardenosa
79,Midnight City,Angel Bissell
80,Midnight City,Cull Ambrogioni
81,Dreamland Daze,Allyn Scandrett
82,Electric Dreams,Aguie Thorbon
83,Starlight Serenade,Odelinda Perkin
84,Dancing in the Moonlight,Timi Flieg
85,Midnight City,Gabriele Bearne
86,Midnight City,Horace Baggarley
87,Neon Lights,Cinda Spadelli
88,Midnight City,Pip Ensor
89,Starlight Serenade,Jere Zanneli
90,Sunset Boulevard,Kerrill Gregolin
91,Midnight City,Filberte Peasnone
92,Summer Breeze,Lorinda Kelcher
93,Electric Dreams,Constancy Brusle
94,Sunset Boulevard,Legra McGarrell
95,Dreamland Daze,Horace Danskine
96,Summer Breeze,Wally Storck
97,Summer Breeze,Flss Yglesia
98,Dreamland Daze,Spence Girault
99,Electric Dreams,Fallon Duprey
100,Electric Dreams,Coral Waud
101,Neon Lights,Leonanie Screas
102,Golden Hour,Ewen Pareman
103,Dancing in the Moonlight,Cad Mitskevich
104,Neon Lights,Hazel Mogey
105,Golden Hour,Caye Whaymand
106,Starlight Serenade,Modesta Oxteby
107,Golden Hour,Jazmin Marton
108,Neon Lights,Arv Francescoccio
109,Electric Dreams,Lesly Mates
110,Electric Dreams,Felecia Demangeot
111,Summer Breeze,Kizzee Tobin
112,Electric Dreams,Jillayne Obeney
113,Rhythm of the Night,Winny Pessold
114,Golden Hour,Eberto Domican
115,Rhythm of the Night,Demott Idney
116,Electric Dreams,Early Hammarberg
117,Midnight City,Bengt Hodcroft
118,Dancing in the Moonlight,Ken Zapata
119,Dancing in the Moonlight,Sutherlan Kiln
120,Dreamland Daze,Orin Thurling
121,Electric Dreams,Huntley Lohan
122,Sunset Boulevard,Osborne Steel
123,Golden Hour,Savina Luke
124,Dreamland Daze,Sylvan Grassi
125,Midnight City,Layla Guillotin
126,Summer Breeze,Karil Henryson
127,Neon Lights,Addie Martinson
128,Rhythm of the Night,Samara Verbrugge
129,Dancing in the Moonlight,Sarine Syne
130,Midnight City,Terrance Minico
131,Rhythm of the Night,Darelle Batterbee
132,Electric Dreams,Mira Halm
133,Neon Lights,Granny Tick
134,Midnight City,Richardo Cane
135,Starlight Serenade,Gerardo Allington
136,Neon Lights,Tabbie Bushrod
137,Starlight Serenade,Gabi Valens-Smith
138,Sunset Boulevard,Wake Immins
139,Dreamland Daze,Gleda Hoofe
140,Neon Lights,Cherri Goroni
141,Starlight Serenade,Casandra Grierson
142,Golden Hour,Fletch Le Huquet
143,Neon Lights,Thayne Croston
144,Dreamland Daze,Danya Heineke
145,Sunset Boulevard,Lynnelle Wynes
146,Dancing in the Moonlight,Janna Fayne
147,Starlight Serenade,Ariel Wyrall
148,Midnight City,Editha Climson
149,Rhythm of the Night,Alexei Riddell
150,Golden Hour,Cary Onele
151,Starlight Serenade,Adham Eacle
152,Dancing in the Moonlight,Rogerio Belliss
153,Electric Dreams,Milicent Boddis
154,Electric Dreams,Hadlee Francis
155,Rhythm of the Night,Carilyn Munday
156,Electric Dreams,Hardy Leif
157,Rhythm of the Night,Meredithe Rampton
158,Golden Hour,Aliza Mc Gee
159,Rhythm of the Night,Lorry Camden
160,Electric Dreams,Hirsch Pomery
161,Neon Lights,Tabina Geake
162,Dreamland Daze,Kamila Westnedge
163,Dancing in the Moonlight,Patience Hudspeth
164,Midnight City,Ami Lemerie
165,Dancing in the Moonlight,Katusha Hentze
166,Summer Breeze,Georgena McClymond
167,Starlight Serenade,Zondra Bulford
168,Midnight City,Jethro Bernardet
169,Electric Dreams,Bobina Sleicht
170,Rhythm of the Night,Marlow Lampert
171,Sunset Boulevard,Garrot Eubank
172,Starlight Serenade,Rafferty Chennells
173,Dreamland Daze,Jacky Hassur
174,Midnight City,Raymond Cassell
175,Dancing in the Moonlight,Hogan Ganderton
176,Midnight City,Elias Fesby
177,Starlight Serenade,Joyan Evamy
178,Summer Breeze,Romola Maun
179,Summer Breeze,Konstance Stranks
180,Midnight City,Lind Jewers
181,Dancing in the Moonlight,Shea Lys
182,Sunset Boulevard,Graehme Richardson
183,Neon Lights,Shamus Haddacks
184,Rhythm of the Night,Bonita Calderonello
185,Sunset Boulevard,Homer Eilhart
186,Rhythm of the Night,Lauralee Order
187,Sunset Boulevard,Laurie Roundtree
188,Sunset Boulevard,La verne Sutherel
189,Rhythm of the Night,Leila Staynes
190,Midnight City,Andonis Pember
191,Neon Lights,Marne Causnett
192,Dancing in the Moonlight,Bernardina Giovannazzi
193,Dreamland Daze,Chickie Bonus
194,Neon Lights,Ellene Heyball
195,Summer Breeze,Amil Burgisi
196,Midnight City,Alli Kingerby
197,Midnight City,Krista Meeland
198,Midnight City,Christie Cayton
199,Starlight Serenade,Giusto Willwood
200,Dancing in the Moonlight,Son Toolin
201,Electric Dreams,Cher Kliche
202,Dancing in the Moonlight,Genna Zellick
203,Dreamland Daze,Griselda Rable
204,Dreamland Daze,Griffith Roadnight
205,Starlight Serenade,Nollie Chattelaine
206,Dreamland Daze,Constantine Sperry
207,Electric Dreams,Kelsey Tinsey
208,Sunset Boulevard,Christy Martineau
209,Summer Breeze,Lorene Ianne
210,Dancing in the Moonlight,Kip Shutler
211,Rhythm of the Night,Tine MacAindreis
212,Summer Breeze,Quintin Cullinan
213,Summer Breeze,Honoria Shird
214,Starlight Serenade,Dode Lie
215,Golden Hour,Bennie De Andisie
216,Golden Hour,Rafaelita MacKaig
217,Neon Lights,Ofella Giannasi
218,Starlight Serenade,Andrea Swait
219,Rhythm of the Night,Mohandis Craske
220,Neon Lights,Maryrose Brea
221,Summer Breeze,Alison Briamo
222,Electric Dreams,Cordy Brooksby
223,Dreamland Daze,Nil Rider
224,Dreamland Daze,Alberta Scoggans
225,Starlight Serenade,Casie Wavell
226,Golden Hour,Bancroft Tomkys
227,Rhythm of the Night,Marty Tocqueville
228,Golden Hour,Laura Williment
229,Rhythm of the Night,Margeaux MacAlaster
230,Midnight City,Dorita Custy
231,Starlight Serenade,Leigh Braferton
232,Electric Dreams,Tymon Bumphries
233,Neon Lights,Lanae Floyd
234,Rhythm of the Night,Murdock Chevis
235,Dancing in the Moonlight,Herman Nono
236,Dreamland Daze,Gleda McKeever
237,Summer Breeze,Dyann Jeppensen
238,Dreamland Daze,Tab Berens
239,Starlight Serenade,Janette Woollard
240,Rhythm of the Night,Eziechiele Wreight
241,Neon Lights,Jack Aikin
242,Electric Dreams,Rozanna Beresford
243,Midnight City,Irwin Call
244,Starlight Serenade,Dorotea Dussy
245,Summer Breeze,Luisa Danniell
246,Rhythm of the Night,Di Vaisey
247,Dancing in the Moonlight,Aida Brandassi
248,Rhythm of the Night,Trisha Danick
249,Rhythm of the Night,Devondra Clyma
250,Summer Breeze,Ethelyn Weald
251,Dreamland Daze,Charlie Deedes
252,Midnight City,Linus Medmore
253,Dancing in the Moonlight,Cassey McSorley
254,Starlight Serenade,Bert Gimbart
255,Dancing in the Moonlight,Myrna Setterington
256,Electric Dreams,Markos Longfield
257,Dreamland Daze,Dannye Fabbro
258,Sunset Boulevard,Ondrea Ryles
259,Rhythm of the Night,Manuel Kennaway
260,Golden Hour,Anatol Crowden
261,Midnight City,Barrie Auton
262,Midnight City,Tremain Bonnor
263,Dancing in the Moonlight,Maisie Chiommienti
264,Dancing in the Moonlight,Sharai Feronet
265,Golden Hour,Hinze Belt
266,Dreamland Daze,Berny Fransinelli
267,Golden Hour,Melanie Mesant
268,Neon Lights,Roch O'Kane
269,Summer Breeze,Ameline Wayte
270,Neon Lights,Shandeigh Pooly
271,Dreamland Daze,Laryssa Dedrick
272,Sunset Boulevard,Mercedes Tullett
273,Neon Lights,Gerti Stanbury
274,Dreamland Daze,Lars Peddar
275,Golden Hour,Lyssa Ellissen
276,Sunset Boulevard,Keely Horley
277,Summer Breeze,Ardys Janew
278,Sunset Boulevard,Rene Timberlake
279,Golden Hour,Isidor Oldford
280,Sunset Boulevard,Raleigh Readie
281,Rhythm of the Night,Charmain Belliard
282,Golden Hour,Reece Teasell
283,Starlight Serenade,Kip Malyan
284,Sunset Boulevard,Witty Farlam
285,Neon Lights,Dido Noods
286,Electric Dreams,Shena Hackforth
287,Starlight Serenade,Albertina Loughran
288,Summer Breeze,Lolita Bramo
289,Golden Hour,Quint Bolte
290,Neon Lights,Theodore Renney
291,Summer Breeze,Ninette Dawidman
292,Rhythm of the Night,Henderson Rideout
293,Dancing in the Moonlight,Ardra Ashment
294,Golden Hour,Aline Goldhawk
295,Midnight City,Husein Zmitruk
296,Summer Breeze,Reginald Chad
297,Golden Hour,Romola Farherty
298,Midnight City,Caresa Kondratovich
299,Dancing in the Moonlight,Mar Rappa
300,Dancing in the Moonlight,Jeremie Hebron
301,Neon Lights,Emmalyn Aberdalgy
302,Neon Lights,Padriac Rugieri
303,Dreamland Daze,Berkeley Pellington
304,Sunset Boulevard,Nyssa Seamer
305,Golden Hour,Nelle Langton
306,Midnight City,Killie Buckel
307,Sunset Boulevard,Dolley Wintour
308,Neon Lights,Frederick Camois
309,Rhythm of the Night,Amabelle Cicerone
310,Neon Lights,Sandy Arends
