recording_id,title,recording_date,format
1,bandwidth-monitored,2024-05-11,mp4
2,Public-key,2024-04-02,mp4
3,User-friendly,2024-05-03,cd
4,systemic,2024-02-27,mp4
5,homogeneous,2024-04-27,wav
6,zero tolerance,2024-03-25,cd
7,human-resource,2023-08-01,wav
8,productivity,2023-08-17,mp4
9,6th generation,2024-05-23,cd
10,Secured,2024-04-05,mp3
11,Realigned,2023-07-10,mp4
12,Reverse-engineered,2023-07-07,cd
13,Profit-focused,2024-06-17,wav
14,website,2024-03-11,wav
15,service-desk,2023-09-21,mp4
16,systemic,2024-04-01,cd
17,Reverse-engineered,2024-01-02,mp3
18,throughput,2024-04-24,mp3
19,parallelism,2023-08-14,mp3
20,coherent,2024-04-16,mp4
21,focus group,2024-05-09,cd
22,discrete,2024-02-19,wav
23,real-time,2024-03-29,mp4
24,Seamless,2023-11-05,wav
25,systematic,2024-06-12,mp3
26,Inverse,2024-03-20,cd
27,archive,2023-10-23,cd
28,maximized,2024-01-17,wav
29,contingency,2024-04-17,wav
30,Multi-layered,2024-01-02,wav
31,Managed,2023-10-07,cd
32,Vision-oriented,2024-02-15,wav
33,capability,2023-08-03,mp3
34,methodology,2024-04-13,mp3
35,portal,2024-05-07,mp4
36,local area network,2023-10-20,wav
37,Adaptive,2023-09-29,mp4
38,contingency,2024-03-01,cd
39,intranet,2023-10-07,cd
40,artificial intelligence,2023-12-11,mp3
41,motivating,2023-07-18,mp4
42,knowledge base,2024-02-19,cd
43,collaboration,2024-05-26,cd
44,incremental,2024-01-21,mp4
45,installation,2023-10-30,cd
46,framework,2023-12-31,wav
47,leading edge,2024-05-02,mp4
48,systematic,2023-07-04,wav
49,human-resource,2023-12-26,wav
50,Re-engineered,2024-05-12,cd
51,Pre-emptive,2023-12-29,wav
52,intranet,2023-07-25,cd
53,zero defect,2024-03-02,wav
54,data-warehouse,2024-02-05,wav
55,Synergistic,2023-09-17,cd
56,encompassing,2023-11-20,mp4
57,uniform,2024-01-21,wav
58,parallelism,2023-06-22,wav
59,even-keeled,2024-01-04,mp3
60,secondary,2023-07-28,mp4
61,middleware,2023-06-24,wav
62,neutral,2024-05-19,mp3
63,client-server,2023-08-30,mp3
64,matrix,2024-01-28,mp4
65,project,2023-07-04,mp3
66,focus group,2024-01-21,mp3
67,Reverse-engineered,2023-07-28,mp4
68,Realigned,2023-10-26,wav
69,workforce,2024-06-16,mp4
70,Managed,2024-03-14,mp3
71,heuristic,2024-02-22,cd
72,customer loyalty,2023-07-29,cd
73,Decentralized,2024-02-23,mp3
74,analyzer,2023-10-11,wav
75,bifurcated,2023-07-02,wav
76,core,2023-07-02,wav
77,Right-sized,2024-03-10,mp3
78,data-warehouse,2023-06-21,wav
79,Profit-focused,2023-08-21,mp3
80,Streamlined,2024-04-05,mp4
81,Inverse,2023-11-30,mp3
82,Graphic Interface,2024-02-10,mp4
83,Enterprise-wide,2023-07-01,cd
84,methodology,2024-04-14,mp3
85,definition,2024-02-11,wav
86,homogeneous,2024-05-08,cd
87,core,2024-02-04,mp4
88,Optimized,2024-05-29,mp3
89,Multi-lateral,2024-04-10,mp3
90,knowledge base,2024-01-15,mp4
91,protocol,2023-09-27,mp4
92,disintermediate,2024-01-23,cd
93,Enterprise-wide,2023-06-20,cd
94,system engine,2023-07-02,wav
95,access,2024-04-15,mp4
96,Synergized,2023-09-21,wav
97,asynchronous,2023-07-24,mp4
98,Mandatory,2023-09-23,wav
99,Graphic Interface,2024-06-12,wav
100,Front-line,2023-09-15,mp3
101,next generation,2023-07-19,mp4
102,foreground,2023-10-11,cd
103,empowering,2023-10-24,cd
104,regional,2024-05-07,cd
105,discrete,2023-11-17,mp4
106,exuding,2023-12-05,cd
107,knowledge user,2024-04-06,wav
108,Innovative,2024-02-19,cd
109,interface,2024-01-24,mp3
110,Synergized,2024-04-03,cd
111,disintermediate,2023-11-15,cd
112,infrastructure,2024-02-12,mp4
113,matrix,2023-12-23,wav
114,forecast,2023-12-26,wav
115,Programmable,2024-05-26,cd
116,background,2023-07-02,cd
117,Cross-platform,2023-11-29,mp4
118,clear-thinking,2023-09-19,mp4
119,benchmark,2023-12-24,cd
120,orchestration,2024-03-30,mp4
121,info-mediaries,2023-07-19,wav
122,mission-critical,2023-07-02,mp3
123,system engine,2024-01-22,mp3
124,optimizing,2024-02-15,wav
125,next generation,2023-11-03,wav
126,Compatible,2023-12-01,mp4
127,Synergistic,2023-12-03,mp4
128,Stand-alone,2023-11-18,mp4
129,archive,2024-01-24,wav
130,capacity,2024-05-22,wav
131,Optional,2023-07-30,mp4
132,synergy,2024-02-05,mp4
133,complexity,2024-01-18,wav
134,adapter,2024-02-15,mp3
135,productivity,2023-07-05,mp4
136,systemic,2023-12-10,mp4
137,bi-directional,2024-06-04,cd
138,function,2024-01-17,mp4
139,discrete,2023-09-27,wav
140,Robust,2023-09-08,mp3
141,extranet,2023-11-22,cd
142,multi-state,2024-03-15,wav
143,model,2023-11-04,mp4
144,model,2023-07-19,mp3
145,Automated,2024-04-24,cd
146,mobile,2024-03-11,mp3
147,didactic,2024-06-17,mp4
148,Ergonomic,2024-05-02,mp4
149,implementation,2023-11-20,mp3
150,stable,2023-09-05,mp4
151,workforce,2023-12-14,wav
152,Phased,2023-07-21,cd
153,pricing structure,2024-03-23,wav
154,client-driven,2024-05-11,mp3
155,workforce,2023-11-09,wav
156,protocol,2023-08-02,cd
157,Optimized,2024-06-10,wav
158,project,2024-03-11,mp4
159,internet solution,2024-04-21,wav
160,emulation,2024-04-24,cd
161,alliance,2023-12-27,wav
162,Switchable,2024-04-18,mp4
163,Synergized,2024-03-03,mp3
164,content-based,2023-08-01,mp4
165,Grass-roots,2023-10-27,mp3
166,full-range,2023-11-22,wav
167,asymmetric,2024-04-27,cd
168,Organized,2023-06-26,mp4
169,synergy,2024-01-17,mp3
170,Devolved,2023-12-15,mp3
171,asymmetric,2023-09-14,mp3
172,firmware,2024-04-14,mp3
173,web-enabled,2024-06-03,mp3
174,local area network,2023-12-13,wav
175,Ameliorated,2023-12-19,mp4
176,cohesive,2024-03-24,mp4
177,Innovative,2024-04-23,wav
178,multimedia,2024-05-09,wav
